(pthatrange)  nevents  weighted-Xsection
  2, 3,       2409849,           9.00176
  3, 4,       3706843,           1.46259
  4, 5,       3709985,          0.354407
  5, 7,       3563592,          0.151627
  7, 9,       3637343,         0.0249102
  9,11,      17337984,        0.00584656
 11,15,      17233020,         0.0023021
 15,20,      16422119,       0.000342608
 20,25,       3547865,       4.56842e-05
 25,35,       2415179,       9.71569e-06
 35,45,       2525739,       4.69593e-07
 45,55,       1203188,       2.69062e-08
 55,99,       1264931,       1.43197e-09
